name,specialty,Mobile No.,   experience
"Enensaauas Rastrygina, DAc, LAc, LMT",Acupuncturist,5192982793,24
"Diem Truong, LAc, MSTOM",Acupuncturist,9534348926,11
"Samantha Hewwing, LAc, DACM",Acupuncturist,2275514922,4
"Flora Luyando, LAc",Acupuncturist,5592467939,14
"Yuji Kim, LAc",Acupuncturist,2748985465,29
"Zhiwen Zhong, LAc, DACM, MSTCM",Acupuncturist,8337912050,15
"Lida Ahmady, LAc",Acupuncturist,4365518222,10
"Maya Kron, LAc",Acupuncturist,2077459560,9
"Yoko Kuo, LAc",Acupuncturist,9909259079,29
"Heeock Lee, LAc",Acupuncturist,7591263417,5
"Itorye Silver, LAc",Acupuncturist,8131462348,19
"Julie Cho, DAOM, LAc, MSTOM",Acupuncturist,2447119570,11
"Frank Muscara, LAc, DACM",Acupuncturist,4053909676,11
"Yang Yang Zucco, LAc",Acupuncturist,3013242326,6
"Kelsey Tangel, DACM",Acupuncturist,2298179575,8
"Joelle Ludwig, LAc",Acupuncturist,1310786229,24
"Joannie Campuzano, LAc",Acupuncturist,6154285150,8
"Joyce Lilly, DAc, LAc",Acupuncturist,4927666514,5
"Li Ting Lin, LAc",Acupuncturist,3723197354,22
"Philip Trigiani, LAc, DAc",Acupuncturist,8963201320,29
"Connie Qian, LAc",Acupuncturist,2153461555,24
"Diem Truong, LAc, MSTOM",Acupuncturist,5669451706,22
"Douglas Freeman, LAc, MS",Acupuncturist,4567073022,27
"Amy Woodstock, LAc",Acupuncturist,2340577432,16
"Giovanna Silva, LAc, MSOM",Acupuncturist,9576593201,16
"Dr. Yu Cheng Chen, PhD, DC, LAc",Acupuncturist,2668653703,14
"Marina Doktorman, LAc",Acupuncturist,4553407948,1
"Xue (Snow) Xia, LAc",Acupuncturist,8042321578,11
"Dr. Aran Degenhardt, MD, CAc",Acupuncturist,9188955003,12
"Jane Gibbons, LAc",Acupuncturist,8096195527,28
"Li Ting Lin, LAc",Acupuncturist,6997807948,7
"Russell Stram, PT",Acupuncturist,4115632829,21
"Lisa Sumption, LAc",Acupuncturist,8196839592,28
"Dr. Stephen Coleman, MD, LAc",Acupuncturist,1051698617,12
"April Nieves, LAc",Acupuncturist,5910107183,11
"Amy Woodstock, LAc",Acupuncturist,3869885888,13
"Anna Piva, LAc, DACM",Acupuncturist,7030653400,12
"Dumisani Kambi-Shamba, LAc, MSTOM",Acupuncturist,4332974502,21
"Jonathan Simon, LAc",Acupuncturist,8578892250,8
"Marjorie (Margie) Navarro, LAc",Acupuncturist,9171558738,1
"Xaoling Shang, LAc, MSTOM",Acupuncturist,1557621232,29
"Diem Truong, LAc, MSTOM",Acupuncturist,5420293986,7
"Jacqueline Fazzalari, LAc",Acupuncturist,8239972728,18
"Marc Gian, LAc",Acupuncturist,3231434422,8
"Dr. Oliver Grover, DC, LAc, MS",Acupuncturist,3911572191,17
"Christopher Trahan, LAc",Acupuncturist,5673985062,14
"Dr. Yi Yi Wu, LAc, PhD",Acupuncturist,4283797600,7
"Howard Tso, LAc",Acupuncturist,6865691030,16
"Jeffrey Chen, LAc",Acupuncturist,3491597581,4
"Darren Louie, LAc, MSTOM",Acupuncturist,3164331113,16
"Dr. Aran Degenhardt, MD, CAc",Acupuncturist,2185365792,16
"Boris Bernadsky, LAc, LMT",Acupuncturist,7003523965,15
"Xaoling Shang, LAc, MSTOM",Acupuncturist,2869222092,9
"Aliona Kats, LAc, LMT",Acupuncturist,5427539035,11
"SongLinh Lu, LAc",Acupuncturist,7747135206,3
"Zvi Goldberg, LAc",Acupuncturist,8251217446,30
"Melissa Little, LAc",Acupuncturist,2149419022,12
"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist,1429164402,1
"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist,8832129500,26
"Siras Ramos, LAc",Acupuncturist,1496872969,6
"Annalisa Brown, LAc",Acupuncturist,1583192476,2
"Diem Truong, LAc, MSTOM",Acupuncturist,8914336832,14
"Natalie Francis, LAc",Acupuncturist,7477955073,30
"Pamela Yap, LAc, MSTOM",Acupuncturist,3996811783,14
"Brian Chang, DAc, DiplAc, LAc",Acupuncturist,7963177360,9
"Dr. Sara Scrivano, DC, LAc",Acupuncturist,7877244860,30
"Youngsoo Oh, PT",Acupuncturist,4049858450,3
"Hyoung Gyo Kim, LAc",Acupuncturist,1271054971,28
"Siraj Venjara, LAc, MSTOM",Acupuncturist,3362702339,17
"Dr. Steven Moalemi, MD",Physiatrist,6279970312,6
"Hiroe Yamani, LAc",Acupuncturist,9851201430,17
"Dr. Lev Kalika, DC",Chiropractor,9810557015,20
"Dr. David Hong, DC",Chiropractor,7616476612,5
"Dr. Steven Moalemi, MD",Physiatrist,4948205002,9
"Dr. Steven Moalemi, MD",Physiatrist,9011204272,21
"Dr. Kelly Bay, DC, CDN, CNS",Chiropractor,7260072587,2
"Keping Du, LAc",Acupuncturist,2102932451,9
"Joelle Ludwig, LAc",Acupuncturist,9360837149,13
"Joanne Hsieh, LAc",Acupuncturist,8395637356,13
"Dr. Stephen Coleman, MD, LAc",Acupuncturist,5897667091,23
"Brian Kelly, LAc",Acupuncturist,9190065667,10
"Diem Truong, LAc, MSTOM",Acupuncturist,2322871854,14
"Ok Jean Keh, LAc",Acupuncturist,5201644936,11
"Dr. Jose Colon, MD",Pain Management Specialist,4662084018,19
"Siraj Venjara, LAc, MSTOM",Acupuncturist,8702598458,7
"Joanne Hsieh, LAc",Acupuncturist,6423121356,18
"Tzu-Ying Chiang, LAc",Acupuncturist,5361114593,2
"Dr. Sally Mravcak, MD",Acupuncturist,8997947316,14
"Dr. Jennifer Zocca, MD",Pain Management Specialist,6983878997,2
"Kyung Yoo, LAc",Acupuncturist,3489090309,20
"Tzu-Ying Chiang, LAc",Acupuncturist,1988130734,26
"Chung-Ying (Fred) Tsai, PT, LAc, MPT, MSTOM, DACM",Acupuncturist,3369834702,22
"Igor Vatelman, LAc, MSTOM",Acupuncturist,7406766482,29
"Chung-Ying (Fred) Tsai, PT, LAc, MPT, MSTOM, DACM",Acupuncturist,8793375912,20
"Dr. Jennifer Zocca, MD",Pain Management Specialist,6859139179,11
"Dr. Douglas Allen, DO",Physiatrist,5207148686,6
"Dr. Douglas Allen, DO",Physiatrist,7845629819,8
"Heather Trujillo, LAc",Acupuncturist,2230738972,19
"Dr. David Satterfield, DC",Chiropractor,2078381575,27
"Dr. Pamela Doshner, DC",Chiropractor,9302022201,18
"Dr. Patrick Grady, DC",Chiropractor,3944128825,2
"Diem Truong, LAc, MSTOM",Acupuncturist,5471519925,12
"Tammy Huang, MSTOM, LAc",Acupuncturist,8064552831,25
"Dr. Ari Lerner, MD",Pain Management Specialist,7152611946,8
"Qian Li, LAc",Acupuncturist,2192532853,7
"Dr. Amir Mahajer, DO",Physiatrist,6533155743,25
"Ani Baran, LAc",Acupuncturist,8706897233,21
"Deborah Barbiere, LAc, MSTOM, PsyD",Acupuncturist,9790680915,27
"Tom Rhee, LAc",Acupuncturist,9051175792,4
"Dr. Amir Mahajer, DO",Physiatrist,8774285500,24
"Dr. Sukdeb Datta, MD",Pain Management Specialist,2826748427,1
"Dr. Victoria Szafranska, DC",Chiropractor,7749792353,9
"Dr. Ryan Tichauer, DC",Chiropractor,8185145073,13
"Dr. Alan Belsky, DC",Chiropractor,3519098995,17
"Dr. Cariann Paul, DC",Chiropractor,1562316303,11
"Dr. Anthony Conte, DC",Chiropractor,4017315099,27
"Jungyup Song, DAOM",Acupuncturist,3329598885,27
"Dr. Xavier Ferland Haroun, DC",Chiropractor,2422012914,13
"Dr. Jong Ho Kim, PhD, LAc",Acupuncturist,3913274724,5
"Flora Luyando, LAc",Acupuncturist,1123460399,20
"Maya Kron, LAc",Acupuncturist,8456133485,30
"Diem Truong, LAc, MSTOM",Acupuncturist,3029779392,1
"Dr. Pamela Doshner, DC",Chiropractor,7319318035,21
"Dr. Ryan Tichauer, DC",Chiropractor,4908763226,11
"Dr. Jamie Milchanowski, DC",Chiropractor,7653194862,16
"Dr. Elijah Manfredi, DC",Chiropractor,5567834576,23
"Dr. Ashley Narain, DC",Chiropractor,7601062739,10
"Dr. Amir Mahajer, DO",Physiatrist,9464185775,15
"Kimberly Kulseng, LAc, MSTOM, DACM",Acupuncturist,4200416794,28
"Ryan Whelan, LAc",Acupuncturist,4128508221,4
"Heeock Lee, LAc",Acupuncturist,2834568270,7
"Dr. Jose Colon, MD",Pain Management Specialist,6261307781,29
"Dr. Michael Y. Mizhiritsky, MD",Physiatrist,6971567081,15
"Dr. Ryan Shum, DC",Chiropractor,8961588106,2
"Dr. Stephanie Bayner, MD",Acupuncturist,3516003385,24
"Qian Li, LAc",Acupuncturist,3923580525,22
"Christina Wallace, LAc",Acupuncturist,4801722983,2
"Jennifer Beltrani, LAc",Acupuncturist,4972917948,10
"Suzanne Stolzberg, LAc, MS",Acupuncturist,9744351245,16
"Dr. Ryan Shum, DC",Chiropractor,5940699888,9
"Je Lim Song, LAc",
